,Samples,plate.pos,rnaprepplate,filename,Quality Score,Rerun Priority for Sufficient Read Samples
0,Plate 3 - A09,A09,LICRNA_03,B250508004_n01_LICRNA03_A09,297.47300605897203,1.0
1,Plate 2 - A01,A01,LICRNA_02,A2449446903_n01_LICRNA02_A01,305.07000312887055,2.0
2,Plate 2 - C10,C10,LICRNA_02,A2449446903_n01_LICRNA02_C10,312.62379091109005,12.0
3,Plate 2 - G10,G10,LICRNA_02,A2449446903_n01_LICRNA02_G10,313.8666770240685,15.0
4,Plate 1 - A02,A02,LICRNA_01,A2450525897_n01_LICRNA01_A02,311.9992652952962,11.0
5,Plate 1 - C02,C02,LICRNA_01,A2450525897_n01_LICRNA01_C02,313.28508075585194,14.0
6,Plate 1 - D01,D01,LICRNA_01,A2450525897_n01_LICRNA01_D01,314.7857464920583,17.0
7,Plate 1 - D02,D02,LICRNA_01,A2450525897_n01_LICRNA01_D02,311.40787134564357,9.0
8,Plate 1 - E04,E04,LICRNA_01,A2450525897_n01_LICRNA01_E04,317.26852706558407,22.0
9,Plate 1 - G01,G01,LICRNA_01,A2450525897_n01_LICRNA01_G01,314.2814770758565,16.0
10,Plate 1 - G05,G05,LICRNA_01,A2450525897_n01_LICRNA01_G05,313.0660574338096,13.0
11,Plate 1 - H02,H02,LICRNA_01,A2450525897_n01_LICRNA01_H02,310.14212215296664,6.0
12,Plate 4 - A03,A03,LICRNA_04,B2449500127_n01_LICRNA04_A03,317.25476511811564,21.0
13,Plate 4 - A10,A10,LICRNA_04,B2449500127_n01_LICRNA04_A10,318.66830877746406,24.0
14,Plate 4 - B03,B03,LICRNA_04,B2449500127_n01_LICRNA04_B03,310.6077620233208,7.0
15,Plate 4 - B06,B06,LICRNA_04,B2449500127_n01_LICRNA04_B06,315.60074801892574,18.0
16,Plate 4 - B07,B07,LICRNA_04,B2449500127_n01_LICRNA04_B07,311.0244362784366,8.0
17,Plate 4 - C02,C02,LICRNA_04,B2449500127_n01_LICRNA04_C02,316.6145124573889,19.0
18,Plate 4 - F10,F10,LICRNA_04,B2449500127_n01_LICRNA04_F10,316.7950529531904,20.0
19,Plate 4 - F11,F11,LICRNA_04,B2449500127_n01_LICRNA04_F11,317.41708388214477,23.0
20,Plate 3 - A05,A05,LICRNA_03,B250508004_n01_LICRNA03_A05,308.7742903719194,4.0
21,Plate 3 - B03,B03,LICRNA_03,B250508004_n01_LICRNA03_B03,311.4548176016463,10.0
22,Plate 3 - B12,B12,LICRNA_03,B250508004_n01_LICRNA03_B12,309.3660479328476,5.0
23,Plate 3 - F12,F12,LICRNA_03,B250508004_n01_LICRNA03_F12,307.9677815406543,3.0
